text,task,time,date
Set up a one-on-one on June 20 at 6:45am,Set up a one-on-one,6:45am,June 20
I need to review my applications at 5:30pm,I need to review,5:30pm,
Check email updates around 7:15pm,Check email updates around,7:15pm,
Schedule a team meeting for June 21 at 2:45pm,Schedule a team meeting,2:45pm,June 21
I need to review my applications at 6:30pm,I need to review,6:30pm,
Check email updates around 11:45am,Check email updates around,11:45am,
Call the client on June 27,Call the client on,,June 27
Set up a one-on-one on July 1 at 6:00am,Set up a one-on-one,6:00am,July 1
Check email updates around 10:45am,Check email updates around,10:45am,
I need to review my applications at 2:45pm,I need to review,2:45pm,
Schedule a team meeting for June 11 at 8:30pm,Schedule a team meeting,8:30pm,June 11
Check email updates around 2:45pm,Check email updates around,2:45pm,
Submit the quarterly report by 9:00pm,Submit the quarterly report,9:00pm,
Meet with HR at 7:30am,Meet with hr at,7:30am,
Submit the quarterly report by 7:00am,Submit the quarterly report,7:00am,
Schedule a team meeting for June 29 at 12:00pm,Schedule a team meeting,12:00pm,June 29
Call the client on June 20,Call the client on,,June 20
Submit the quarterly report by 12:45pm,Submit the quarterly report,12:45pm,
Finish the budget review before 5:15pm,Finish the budget review,5:15pm,
Set up a one-on-one on June 9 at 9:15am,Set up a one-on-one,9:15am,June 9
Submit the quarterly report by 6:30am,Submit the quarterly report,6:30am,
Check email updates around 6:15pm,Check email updates around,6:15pm,
Set up a one-on-one on July 4 at 1:00pm,Set up a one-on-one,1:00pm,July 4
Finish the budget review before 9:00am,Finish the budget review,9:00am,
Meet with HR at 7:30pm,Meet with hr at,7:30pm,
Meet with HR at 4:00pm,Meet with hr at,4:00pm,
Check email updates around 9:00pm,Check email updates around,9:00pm,
Prepare slides for the presentation on June 17,Prepare slides for the,,June 17
Call the client on June 19,Call the client on,,June 19
Check email updates around 2:30pm,Check email updates around,2:30pm,
Schedule a team meeting for July 16 at 8:30am,Schedule a team meeting,8:30am,July 16
Send the invoice on June 26,Send the invoice on,,June 26
Set up a one-on-one on May 22 at 6:30pm,Set up a one-on-one,6:30pm,May 22
Send the invoice on June 21,Send the invoice on,,June 21
Schedule a team meeting for June 11 at 5:30pm,Schedule a team meeting,5:30pm,June 11
Finish the budget review before 2:00pm,Finish the budget review,2:00pm,
Schedule a team meeting for July 6 at 8:15am,Schedule a team meeting,8:15am,July 6
Check email updates around 9:15pm,Check email updates around,9:15pm,
Send the invoice on July 10,Send the invoice on,,July 10
I need to review my applications at 8:30am,I need to review,8:30am,
Check email updates around 1:30pm,Check email updates around,1:30pm,
Set up a one-on-one on June 25 at 5:45pm,Set up a one-on-one,5:45pm,June 25
Meet with HR at 5:45pm,Meet with hr at,5:45pm,
Meet with HR at 4:30pm,Meet with hr at,4:30pm,
Send the invoice on June 6,Send the invoice on,,June 6
Schedule a team meeting for June 10 at 9:15am,Schedule a team meeting,9:15am,June 10
Submit the quarterly report by 11:15am,Submit the quarterly report,11:15am,
Send the invoice on May 27,Send the invoice on,,May 27
Schedule a team meeting for June 13 at 3:15pm,Schedule a team meeting,3:15pm,June 13
Call the client on July 5,Call the client on,,July 5
Meet with HR at 10:30am,Meet with hr at,10:30am,
I need to review my applications at 3:15pm,I need to review,3:15pm,
Send the invoice on June 26,Send the invoice on,,June 26
Finish the budget review before 9:45pm,Finish the budget review,9:45pm,
Prepare slides for the presentation on June 6,Prepare slides for the,,June 6
Send the invoice on June 15,Send the invoice on,,June 15
Send the invoice on May 30,Send the invoice on,,May 30
Call the client on June 5,Call the client on,,June 5
Submit the quarterly report by 7:15pm,Submit the quarterly report,7:15pm,
Meet with HR at 6:45pm,Meet with hr at,6:45pm,
Send the invoice on June 9,Send the invoice on,,June 9
Set up a one-on-one on July 20 at 7:00am,Set up a one-on-one,7:00am,July 20
Schedule a team meeting for July 2 at 12:30pm,Schedule a team meeting,12:30pm,July 2
Submit the quarterly report by 11:15am,Submit the quarterly report,11:15am,
Meet with HR at 8:15am,Meet with hr at,8:15am,
Check email updates around 8:45pm,Check email updates around,8:45pm,
I need to review my applications at 1:30pm,I need to review,1:30pm,
Finish the budget review before 8:00pm,Finish the budget review,8:00pm,
Schedule a team meeting for June 17 at 2:15pm,Schedule a team meeting,2:15pm,June 17
Submit the quarterly report by 1:15pm,Submit the quarterly report,1:15pm,
Finish the budget review before 10:00am,Finish the budget review,10:00am,
Call the client on June 18,Call the client on,,June 18
Submit the quarterly report by 8:30pm,Submit the quarterly report,8:30pm,
Check email updates around 2:45pm,Check email updates around,2:45pm,
Submit the quarterly report by 7:45am,Submit the quarterly report,7:45am,
Prepare slides for the presentation on May 26,Prepare slides for the,,May 26
Schedule a team meeting for June 26 at 6:30am,Schedule a team meeting,6:30am,June 26
I need to review my applications at 11:45am,I need to review,11:45am,
Send the invoice on June 27,Send the invoice on,,June 27
Check email updates around 9:00pm,Check email updates around,9:00pm,
Prepare slides for the presentation on June 10,Prepare slides for the,,June 10
Submit the quarterly report by 11:30am,Submit the quarterly report,11:30am,
Send the invoice on July 12,Send the invoice on,,July 12
Meet with HR at 7:45am,Meet with hr at,7:45am,
Prepare slides for the presentation on May 28,Prepare slides for the,,May 28
Check email updates around 6:45am,Check email updates around,6:45am,
I need to review my applications at 12:30pm,I need to review,12:30pm,
Send the invoice on June 3,Send the invoice on,,June 3
Finish the budget review before 10:30am,Finish the budget review,10:30am,
Send the invoice on June 30,Send the invoice on,,June 30
Set up a one-on-one on June 9 at 1:15pm,Set up a one-on-one,1:15pm,June 9
Meet with HR at 6:45am,Meet with hr at,6:45am,
Schedule a team meeting for July 20 at 9:45am,Schedule a team meeting,9:45am,July 20
Submit the quarterly report by 10:45am,Submit the quarterly report,10:45am,
Finish the budget review before 2:45pm,Finish the budget review,2:45pm,
Send the invoice on June 19,Send the invoice on,,June 19
Meet with HR at 10:45am,Meet with hr at,10:45am,
Set up a one-on-one on June 7 at 10:00am,Set up a one-on-one,10:00am,June 7
Check email updates around 4:30pm,Check email updates around,4:30pm,
I need to review my applications at 3:30pm,I need to review,3:30pm,
Set up a one-on-one on June 18 at 9:15pm,Set up a one-on-one,9:15pm,June 18
Meet with HR at 9:30pm,Meet with hr at,9:30pm,
Meet with HR at 6:45pm,Meet with hr at,6:45pm,
Prepare slides for the presentation on June 26,Prepare slides for the,,June 26
Check email updates around 1:45pm,Check email updates around,1:45pm,
Prepare slides for the presentation on June 14,Prepare slides for the,,June 14
Call the client on May 29,Call the client on,,May 29
Meet with HR at 4:00pm,Meet with hr at,4:00pm,
Send the invoice on May 21,Send the invoice on,,May 21
Call the client on May 25,Call the client on,,May 25
Send the invoice on June 29,Send the invoice on,,June 29
Check email updates around 8:30am,Check email updates around,8:30am,
Meet with HR at 6:30pm,Meet with hr at,6:30pm,
Send the invoice on June 5,Send the invoice on,,June 5
Finish the budget review before 1:00pm,Finish the budget review,1:00pm,
Submit the quarterly report by 9:45am,Submit the quarterly report,9:45am,
Finish the budget review before 6:00am,Finish the budget review,6:00am,
I need to review my applications at 3:30pm,I need to review,3:30pm,
Check email updates around 10:15am,Check email updates around,10:15am,
Check email updates around 11:15am,Check email updates around,11:15am,
Submit the quarterly report by 6:15pm,Submit the quarterly report,6:15pm,
Set up a one-on-one on June 19 at 10:15am,Set up a one-on-one,10:15am,June 19
Finish the budget review before 8:30pm,Finish the budget review,8:30pm,
I need to review my applications at 8:30pm,I need to review,8:30pm,
Meet with HR at 11:00am,Meet with hr at,11:00am,
Prepare slides for the presentation on July 4,Prepare slides for the,,July 4
Finish the budget review before 8:30pm,Finish the budget review,8:30pm,
Check email updates around 9:00pm,Check email updates around,9:00pm,
Check email updates around 5:30pm,Check email updates around,5:30pm,
Finish the budget review before 6:45am,Finish the budget review,6:45am,
I need to review my applications at 7:45am,I need to review,7:45am,
Finish the budget review before 1:30pm,Finish the budget review,1:30pm,
Schedule a team meeting for June 30 at 2:15pm,Schedule a team meeting,2:15pm,June 30
Submit the quarterly report by 7:30am,Submit the quarterly report,7:30am,
Send the invoice on July 6,Send the invoice on,,July 6
Call the client on June 10,Call the client on,,June 10
Check email updates around 11:15am,Check email updates around,11:15am,
Meet with HR at 5:30pm,Meet with hr at,5:30pm,
Call the client on July 11,Call the client on,,July 11
Finish the budget review before 4:00pm,Finish the budget review,4:00pm,
Submit the quarterly report by 10:15am,Submit the quarterly report,10:15am,
Check email updates around 5:00pm,Check email updates around,5:00pm,
Check email updates around 6:30am,Check email updates around,6:30am,
Submit the quarterly report by 8:30pm,Submit the quarterly report,8:30pm,
Finish the budget review before 6:30pm,Finish the budget review,6:30pm,
Schedule a team meeting for June 29 at 9:00pm,Schedule a team meeting,9:00pm,June 29
Meet with HR at 4:15pm,Meet with hr at,4:15pm,
Submit the quarterly report by 8:30pm,Submit the quarterly report,8:30pm,
Check email updates around 9:15am,Check email updates around,9:15am,
I need to review my applications at 3:45pm,I need to review,3:45pm,
Submit the quarterly report by 1:15pm,Submit the quarterly report,1:15pm,
Send the invoice on June 27,Send the invoice on,,June 27
Call the client on July 13,Call the client on,,July 13
Send the invoice on May 23,Send the invoice on,,May 23
Prepare slides for the presentation on June 18,Prepare slides for the,,June 18
Schedule a team meeting for July 3 at 5:00pm,Schedule a team meeting,5:00pm,July 3
Prepare slides for the presentation on June 15,Prepare slides for the,,June 15
Finish the budget review before 12:00pm,Finish the budget review,12:00pm,
Send the invoice on July 1,Send the invoice on,,July 1
Set up a one-on-one on July 10 at 6:00am,Set up a one-on-one,6:00am,July 10
Prepare slides for the presentation on July 10,Prepare slides for the,,July 10
Set up a one-on-one on July 13 at 12:00pm,Set up a one-on-one,12:00pm,July 13
Meet with HR at 12:15pm,Meet with hr at,12:15pm,
Schedule a team meeting for July 10 at 4:15pm,Schedule a team meeting,4:15pm,July 10
Set up a one-on-one on July 14 at 6:30am,Set up a one-on-one,6:30am,July 14
Call the client on July 11,Call the client on,,July 11
Call the client on May 29,Call the client on,,May 29
I need to review my applications at 5:15pm,I need to review,5:15pm,
Prepare slides for the presentation on June 6,Prepare slides for the,,June 6
I need to review my applications at 10:45am,I need to review,10:45am,
Submit the quarterly report by 8:45am,Submit the quarterly report,8:45am,
Prepare slides for the presentation on June 22,Prepare slides for the,,June 22
Schedule a team meeting for June 19 at 7:30am,Schedule a team meeting,7:30am,June 19
I need to review my applications at 7:45am,I need to review,7:45am,
Check email updates around 7:00pm,Check email updates around,7:00pm,
Send the invoice on June 10,Send the invoice on,,June 10
Set up a one-on-one on May 29 at 10:00am,Set up a one-on-one,10:00am,May 29
Finish the budget review before 4:45pm,Finish the budget review,4:45pm,
Meet with HR at 3:45pm,Meet with hr at,3:45pm,
Set up a one-on-one on July 10 at 7:00pm,Set up a one-on-one,7:00pm,July 10
Submit the quarterly report by 12:45pm,Submit the quarterly report,12:45pm,
Schedule a team meeting for July 12 at 7:30pm,Schedule a team meeting,7:30pm,July 12
Send the invoice on July 6,Send the invoice on,,July 6
Submit the quarterly report by 4:45pm,Submit the quarterly report,4:45pm,
Finish the budget review before 5:15pm,Finish the budget review,5:15pm,
Send the invoice on July 13,Send the invoice on,,July 13
Submit the quarterly report by 8:45am,Submit the quarterly report,8:45am,
Prepare slides for the presentation on June 27,Prepare slides for the,,June 27
Meet with HR at 4:00pm,Meet with hr at,4:00pm,
Prepare slides for the presentation on June 8,Prepare slides for the,,June 8
Set up a one-on-one on May 27 at 3:30pm,Set up a one-on-one,3:30pm,May 27
Set up a one-on-one on July 2 at 12:15pm,Set up a one-on-one,12:15pm,July 2
Send the invoice on June 12,Send the invoice on,,June 12
Meet with HR at 5:00pm,Meet with hr at,5:00pm,
Finish the budget review before 1:45pm,Finish the budget review,1:45pm,
Meet with HR at 6:30am,Meet with hr at,6:30am,
Call the client on July 18,Call the client on,,July 18
Prepare slides for the presentation on June 1,Prepare slides for the,,June 1
Call the client on May 30,Call the client on,,May 30
I need to review my applications at 8:15am,I need to review,8:15am,
Check email updates around 8:30pm,Check email updates around,8:30pm,
Prepare slides for the presentation on July 9,Prepare slides for the,,July 9
Set up a one-on-one on May 30 at 8:00am,Set up a one-on-one,8:00am,May 30
Call the client on June 7,Call the client on,,June 7
Send the invoice on June 28,Send the invoice on,,June 28
Send the invoice on June 3,Send the invoice on,,June 3
Meet with HR at 9:30am,Meet with hr at,9:30am,
Submit the quarterly report by 3:45pm,Submit the quarterly report,3:45pm,
Finish the budget review before 7:15am,Finish the budget review,7:15am,
Set up a one-on-one on June 3 at 7:00am,Set up a one-on-one,7:00am,June 3
Finish the budget review before 12:15pm,Finish the budget review,12:15pm,
Finish the budget review before 3:30pm,Finish the budget review,3:30pm,
I need to review my applications at 9:45pm,I need to review,9:45pm,
Call the client on June 22,Call the client on,,June 22
Meet with HR at 5:00pm,Meet with hr at,5:00pm,
I need to review my applications at 7:00pm,I need to review,7:00pm,
Submit the quarterly report by 4:45pm,Submit the quarterly report,4:45pm,
Check email updates around 7:30pm,Check email updates around,7:30pm,
Check email updates around 6:30am,Check email updates around,6:30am,
Set up a one-on-one on May 26 at 8:30pm,Set up a one-on-one,8:30pm,May 26
Check email updates around 9:15am,Check email updates around,9:15am,
Set up a one-on-one on June 15 at 6:00pm,Set up a one-on-one,6:00pm,June 15
Finish the budget review before 4:15pm,Finish the budget review,4:15pm,
Call the client on June 23,Call the client on,,June 23
Meet with HR at 12:30pm,Meet with hr at,12:30pm,
Call the client on May 30,Call the client on,,May 30
Finish the budget review before 12:15pm,Finish the budget review,12:15pm,
Call the client on July 20,Call the client on,,July 20
Send the invoice on July 3,Send the invoice on,,July 3
Set up a one-on-one on May 30 at 4:30pm,Set up a one-on-one,4:30pm,May 30
Send the invoice on June 18,Send the invoice on,,June 18
Finish the budget review before 2:00pm,Finish the budget review,2:00pm,
Meet with HR at 8:30am,Meet with hr at,8:30am,
Send the invoice on June 13,Send the invoice on,,June 13
Finish the budget review before 8:00am,Finish the budget review,8:00am,
Set up a one-on-one on June 27 at 6:45pm,Set up a one-on-one,6:45pm,June 27
Meet with HR at 7:45am,Meet with hr at,7:45am,
Set up a one-on-one on June 28 at 12:30pm,Set up a one-on-one,12:30pm,June 28
Send the invoice on June 18,Send the invoice on,,June 18
Submit the quarterly report by 4:00pm,Submit the quarterly report,4:00pm,
Call the client on July 5,Call the client on,,July 5
Send the invoice on June 13,Send the invoice on,,June 13
Prepare slides for the presentation on June 16,Prepare slides for the,,June 16
Prepare slides for the presentation on May 25,Prepare slides for the,,May 25
Prepare slides for the presentation on June 8,Prepare slides for the,,June 8
Finish the budget review before 10:30am,Finish the budget review,10:30am,
Set up a one-on-one on June 9 at 10:30am,Set up a one-on-one,10:30am,June 9
Check email updates around 10:00am,Check email updates around,10:00am,
Meet with HR at 6:30pm,Meet with hr at,6:30pm,
Call the client on June 22,Call the client on,,June 22
Prepare slides for the presentation on June 9,Prepare slides for the,,June 9
Call the client on July 20,Call the client on,,July 20
Send the invoice on May 29,Send the invoice on,,May 29
Call the client on July 14,Call the client on,,July 14
Submit the quarterly report by 7:30am,Submit the quarterly report,7:30am,
Set up a one-on-one on May 30 at 10:45am,Set up a one-on-one,10:45am,May 30
Call the client on July 6,Call the client on,,July 6
Send the invoice on June 13,Send the invoice on,,June 13
Schedule a team meeting for July 8 at 8:30pm,Schedule a team meeting,8:30pm,July 8
Send the invoice on June 9,Send the invoice on,,June 9
Send the invoice on July 3,Send the invoice on,,July 3
Set up a one-on-one on July 9 at 8:45pm,Set up a one-on-one,8:45pm,July 9
Finish the budget review before 6:45pm,Finish the budget review,6:45pm,
Schedule a team meeting for May 24 at 10:30am,Schedule a team meeting,10:30am,May 24
Send the invoice on July 5,Send the invoice on,,July 5
Meet with HR at 9:30am,Meet with hr at,9:30am,
Call the client on July 17,Call the client on,,July 17
Meet with HR at 10:45am,Meet with hr at,10:45am,
Schedule a team meeting for July 19 at 8:30pm,Schedule a team meeting,8:30pm,July 19
I need to review my applications at 7:00pm,I need to review,7:00pm,
Meet with HR at 5:15pm,Meet with hr at,5:15pm,
Submit the quarterly report by 5:15pm,Submit the quarterly report,5:15pm,
Prepare slides for the presentation on July 10,Prepare slides for the,,July 10
Call the client on June 8,Call the client on,,June 8
Send the invoice on June 18,Send the invoice on,,June 18
Set up a one-on-one on May 22 at 6:00am,Set up a one-on-one,6:00am,May 22
Finish the budget review before 12:15pm,Finish the budget review,12:15pm,
Set up a one-on-one on July 9 at 7:00pm,Set up a one-on-one,7:00pm,July 9
Finish the budget review before 1:30pm,Finish the budget review,1:30pm,
I need to review my applications at 1:45pm,I need to review,1:45pm,
Set up a one-on-one on May 28 at 8:00pm,Set up a one-on-one,8:00pm,May 28
Send the invoice on July 5,Send the invoice on,,July 5
Call the client on May 21,Call the client on,,May 21
Set up a one-on-one on June 26 at 5:15pm,Set up a one-on-one,5:15pm,June 26
Check email updates around 11:00am,Check email updates around,11:00am,
Prepare slides for the presentation on June 14,Prepare slides for the,,June 14
Send the invoice on June 13,Send the invoice on,,June 13
Finish the budget review before 6:30am,Finish the budget review,6:30am,
Submit the quarterly report by 5:15pm,Submit the quarterly report,5:15pm,
Submit the quarterly report by 4:15pm,Submit the quarterly report,4:15pm,
Prepare slides for the presentation on July 13,Prepare slides for the,,July 13
Send the invoice on July 11,Send the invoice on,,July 11
Call the client on May 23,Call the client on,,May 23
Finish the budget review before 12:00pm,Finish the budget review,12:00pm,
Schedule a team meeting for July 19 at 7:30am,Schedule a team meeting,7:30am,July 19
Finish the budget review before 6:45pm,Finish the budget review,6:45pm,
I need to review my applications at 12:30pm,I need to review,12:30pm,
I need to review my applications at 4:30pm,I need to review,4:30pm,
Prepare slides for the presentation on July 7,Prepare slides for the,,July 7
Send the invoice on June 1,Send the invoice on,,June 1
Send the invoice on July 19,Send the invoice on,,July 19
Meet with HR at 2:00pm,Meet with hr at,2:00pm,
Check email updates around 8:45am,Check email updates around,8:45am,
Call the client on May 27,Call the client on,,May 27
Submit the quarterly report by 4:30pm,Submit the quarterly report,4:30pm,
Send the invoice on July 4,Send the invoice on,,July 4
Send the invoice on May 23,Send the invoice on,,May 23
Prepare slides for the presentation on June 30,Prepare slides for the,,June 30
I need to review my applications at 8:45am,I need to review,8:45am,
Meet with HR at 11:00am,Meet with hr at,11:00am,
Set up a one-on-one on May 29 at 8:00pm,Set up a one-on-one,8:00pm,May 29
Submit the quarterly report by 1:30pm,Submit the quarterly report,1:30pm,
Check email updates around 7:15am,Check email updates around,7:15am,
Send the invoice on June 18,Send the invoice on,,June 18
Submit the quarterly report by 10:30am,Submit the quarterly report,10:30am,
Prepare slides for the presentation on May 28,Prepare slides for the,,May 28
I need to review my applications at 11:45am,I need to review,11:45am,
Check email updates around 9:30am,Check email updates around,9:30am,
Finish the budget review before 8:15pm,Finish the budget review,8:15pm,
Finish the budget review before 9:15pm,Finish the budget review,9:15pm,
Call the client on June 1,Call the client on,,June 1
Send the invoice on July 2,Send the invoice on,,July 2
Prepare slides for the presentation on July 17,Prepare slides for the,,July 17
Finish the budget review before 11:15am,Finish the budget review,11:15am,
Prepare slides for the presentation on June 2,Prepare slides for the,,June 2
Call the client on May 22,Call the client on,,May 22
Prepare slides for the presentation on July 11,Prepare slides for the,,July 11
